dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.75,5,0.2,95,17,0.17894736842105263,0.5882352941176471,,,0.09470588235294111,
DEVELOPMENT,0.75,5,0.3,95,14,0.14736842105263157,0.6428571428571429,,,0.25857142857142856,
DEVELOPMENT,0.75,5,0.4,95,11,0.11578947368421053,0.5454545454545454,,,-0.12090909090909091,
DEVELOPMENT,0.75,6,-0.5,95,59,0.6210526315789474,0.3220338983050847,,,-0.315593220338983,
DEVELOPMENT,0.75,6,-0.4,95,53,0.5578947368421052,0.33962264150943394,,,-0.2720754716981132,
DEVELOPMENT,0.75,6,-0.3,95,45,0.47368421052631576,0.4,,,-0.21355555555555558,
DEVELOPMENT,0.75,6,-0.2,95,39,0.4105263157894737,0.46153846153846156,,,-0.11769230769230771,
DEVELOPMENT,0.75,6,-0.1,95,34,0.35789473684210527,0.5,,,-0.09352941176470587,
DEVELOPMENT,0.75,6,0.0,95,28,0.29473684210526313,0.5357142857142857,,,0.01321428571428569,
DEVELOPMENT,0.75,6,0.1,95,23,0.24210526315789474,0.5652173913043478,,,0.09260869565217388,
DEVELOPMENT,0.75,6,0.2,95,20,0.21052631578947367,0.6,,,0.14549999999999996,
DEVELOPMENT,0.75,6,0.3,95,14,0.14736842105263157,0.6428571428571429,,,0.25857142857142856,
DEVELOPMENT,0.75,6,0.4,95,13,0.1368421052631579,0.6153846153846154,,,0.18230769230769228,
DEVELOPMENT,0.75,8,-0.5,95,61,0.6421052631578947,0.3114754098360656,,,-0.3350819672131148,
DEVELOPMENT,0.75,8,-0.4,95,55,0.5789473684210527,0.32727272727272727,,,-0.2976363636363636,
DEVELOPMENT,0.75,8,-0.3,95,46,0.4842105263157895,0.391304347826087,,,-0.2252173913043479,
DEVELOPMENT,0.75,8,-0.2,95,40,0.42105263157894735,0.45,,,-0.12450000000000006,
DEVELOPMENT,0.75,8,-0.1,95,37,0.3894736842105263,0.4864864864864865,,,-0.08891891891891897,
DEVELOPMENT,0.75,8,0.0,95,31,0.3263157894736842,0.5161290322580645,,,-0.04258064516129033,
DEVELOPMENT,0.75,8,0.1,95,28,0.29473684210526313,0.5357142857142857,,,0.03642857142857142,
DEVELOPMENT,0.75,8,0.2,95,28,0.29473684210526313,0.5357142857142857,,,0.03642857142857142,
