observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
154,82,72,0.5324675324675324,9.0,7.5,1.2,12,0.17142857142857126,0.45454545454545453,0.07792207792207789,B1,LONG,2,60-80,3.5,True,0.8926581746829232
154,97,57,0.6298701298701299,5.0,6.0,0.8333333333333334,10,0.15476190476190488,0.5454545454545454,0.0844155844155845,B1,LONG,2,60-80,3.5,True,0.8818976201663068
247,127,120,0.5141700404858299,25.0,20.0,1.25,3,0.1568825910931173,0.4444444444444444,0.0697255960413855,S2,SHORT,0,20-40,3.0,True,0.8772175197172577
247,127,120,0.5141700404858299,25.0,20.0,1.25,4,0.1568825910931173,0.4444444444444444,0.0697255960413855,S2,SHORT,0,20-40,3.0,True,0.8772175197172577
154,89,65,0.577922077922078,7.5,7.5,1.0,7,0.1558441558441559,0.5,0.07792207792207795,B1,LONG,2,60-80,3.5,True,0.8472341737985446
154,77,77,0.5,10.0,7.5,1.3333333333333333,15,0.16666666666666663,0.4285714285714286,0.0714285714285714,B1,LONG,2,60-80,3.5,True,0.8405708528198743
154,96,58,0.6233766233766234,5.0,6.0,0.8333333333333334,7,0.1428571428571429,0.5454545454545454,0.07792207792207795,B1,LONG,2,60-80,3.5,True,0.8093808397282282
154,91,63,0.5909090909090909,7.0,7.5,0.9333333333333333,7,0.14242424242424245,0.5172413793103449,0.07366771159874608,B1,LONG,2,60-80,3.5,True,0.7836065470915856
154,91,63,0.5909090909090909,7.0,7.5,0.9333333333333333,10,0.14242424242424245,0.5172413793103449,0.07366771159874608,B1,LONG,2,60-80,3.5,True,0.7836065470915856
154,88,66,0.5714285714285714,6.0,6.0,1.0,12,0.1428571428571428,0.5,0.0714285714285714,B1,LONG,2,60-80,3.5,True,0.7719528240182516
154,88,66,0.5714285714285714,6.0,6.0,1.0,20,0.1428571428571428,0.5,0.0714285714285714,B1,LONG,2,60-80,3.5,True,0.7719528240182516
154,88,66,0.5714285714285714,7.5,7.5,1.0,6,0.1428571428571428,0.5,0.0714285714285714,B1,LONG,2,60-80,3.5,True,0.7719528240182516
247,125,122,0.5060728744939271,25.0,20.0,1.25,5,0.13866396761133604,0.4444444444444444,0.06162843004948271,S2,SHORT,0,20-40,3.0,True,0.7691567020800772
154,85,69,0.551948051948052,8.0,7.5,1.0666666666666667,20,0.14069264069264076,0.48387096774193555,0.06807708420611641,B1,LONG,2,60-80,3.5,True,0.7464337223978144
154,95,59,0.6168831168831169,5.0,6.0,0.8333333333333334,6,0.13095238095238104,0.5454545454545454,0.07142857142857151,B1,LONG,2,60-80,3.5,True,0.7376438096174414
154,80,74,0.5194805194805194,9.0,7.5,1.2,15,0.14285714285714268,0.45454545454545453,0.0649350649350649,B1,LONG,2,60-80,3.5,True,0.7345248083082753
247,124,123,0.5020242914979757,25.0,20.0,1.25,6,0.12955465587044523,0.4444444444444444,0.05757984705353125,S2,SHORT,0,20-40,3.0,True,0.7157362957863039
247,124,123,0.5020242914979757,25.0,20.0,1.25,15,0.12955465587044523,0.4444444444444444,0.05757984705353125,S2,SHORT,0,20-40,3.0,True,0.7157362957863039
154,87,67,0.564935064935065,6.0,6.0,1.0,5,0.1298701298701299,0.5,0.06493506493506496,B1,LONG,2,60-80,3.5,True,0.6975221109586413
154,96,58,0.6233766233766234,6.0,7.5,0.8,9,0.12207792207792206,0.5555555555555556,0.06782106782106778,B1,LONG,2,60-80,3.5,True,0.69165271758594
154,84,70,0.5454545454545454,8.0,7.5,1.0666666666666667,5,0.1272727272727272,0.48387096774193555,0.06158357771260986,B1,LONG,2,60-80,3.5,True,0.6710673089454531
154,84,70,0.5454545454545454,8.0,7.5,1.0666666666666667,12,0.1272727272727272,0.48387096774193555,0.06158357771260986,B1,LONG,2,60-80,3.5,True,0.6710673089454531
