target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,10,13,5,128,0.96660167,0.9609375,21.12109375
1.0,10,13,6,129,0.97085357,0.9767441860465116,19.976744186046513
1.0,10,13,7,128,0.9750931,0.9921875,22.42578125
1.0,10,13,8,129,0.97983795,1.0,33.68798449612403
1.0,10,13,9,129,0.986077,0.9922480620155039,29.160852713178294
1.0,10,14,0,125,0.9111616,0.96,23.032
1.0,10,14,1,125,0.9449244,0.976,20.422
1.0,10,14,2,124,0.95659775,0.9596774193548387,22.423387096774192
1.0,10,14,3,125,0.9648808,0.992,24.16
1.0,10,14,4,124,0.97211975,0.9758064516129032,29.860887096774192
1.0,10,14,5,125,0.977283,0.976,31.058
1.0,10,14,6,124,0.98122406,0.9919354838709677,34.47379032258065
1.0,10,14,7,125,0.9848595,1.0,33.858
1.0,10,14,8,124,0.9879552,0.9838709677419355,36.502016129032256
1.0,10,14,9,125,0.99127245,0.984,31.906
1.0,10,15,0,100,0.91531134,0.97,13.685
1.0,10,15,1,100,0.94523895,0.96,15.23
