trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
670,0.5985074626865672,0.0075746268656716464,5.075000000000003,1.0194789617617428,-17.13499999999996,8,0.4142058415499753,1,0.8,0.67R,10
667,0.5982008995502249,0.004962518740629694,3.310000000000006,1.0125461953946746,-18.62249999999996,8,0.27102563092944904,1,0.8,0.67R,15
662,0.5740181268882175,0.02794561933534743,18.499999999999996,1.0726772736201138,-14.625,8,1.4710719129541991,1,0.8,0.75R,5
641,0.5772230889235569,0.016224648985959437,10.399999999999999,1.0396133885635384,-17.8125,8,0.7889369354941741,1,0.8,0.75R,10
637,0.5745682888540031,0.013383045525902667,8.524999999999999,1.0320850583364698,-18.6125,8,0.6471525593495441,1,0.8,0.75R,15
608,0.5180921052631579,0.050349506578947364,30.612499999999997,1.1190974079657636,-11.462499999999999,7,2.2201013696995324,1,0.8,1.00R,5
572,0.5157342657342657,0.03769667832167832,21.5625,1.0817303136548848,-13.6375,8,1.5389003507915955,1,0.8,1.00R,10
565,0.5185840707964602,0.04223451327433628,23.862499999999997,1.0894731908511435,-14.5,6,1.7164559139837297,1,0.8,1.00R,15
493,0.6713995943204868,0.01622718052738337,8.000000000000002,1.0515380898695443,-15.0625,5,0.8670108741327822,1,0.85,0.50R,5
490,0.673469387755102,0.01357142857142857,6.649999999999999,1.0421052631578949,-15.95,5,0.7272230804244686,1,0.85,0.50R,10
490,0.6714285714285714,0.010510204081632654,5.15,1.0323187951051145,-16.5,5,0.5625521386240258,1,0.85,0.50R,15
467,0.6124197002141327,0.03869379014989294,18.07,1.1071132187314763,-13.967499999999838,5,1.779561914296016,1,0.85,0.67R,5
460,0.6173913043478261,0.03640217391304348,16.745,1.0972486388384755,-14.167499999999833,5,1.5904552927423432,1,0.85,0.67R,10
460,0.6130434782608696,0.027369565217391305,12.59,1.0713921179472639,-14.767499999999847,5,1.1856124107116204,1,0.85,0.67R,15
452,0.5929203539823009,0.048506637168141596,21.925,1.1275636363636363,-13.787500000000005,5,2.041954178430425,1,0.85,0.75R,5
443,0.5936794582392777,0.043961625282167044,19.475,1.1105356509400497,-14.487499999999997,5,1.8026823049347673,1,0.85,0.75R,10
443,0.5891647855530474,0.03476297968397291,15.4,1.0853895203770445,-15.087499999999999,5,1.4154122642134557,1,0.85,0.75R,15
410,0.5341463414634147,0.07353658536585367,30.150000000000002,1.173387966357559,-9.825000000000003,6,2.862784376672094,1,0.85,1.00R,5
393,0.5292620865139949,0.06240458015267175,24.525,1.1372027972027972,-12.3625,5,2.43115107815331,1,0.85,1.00R,10
391,0.5294117647058824,0.060613810741687986,23.700000000000003,1.129969838223197,-14.0,6,2.2862822517171653,1,0.85,1.00R,15
466,0.6115879828326181,-0.0004828326180257427,-0.2249999999999961,0.9983747178329572,-16.525,6,-0.02375015528391894,2,0.7,0.50R,5
449,0.6592427616926503,0.01765033407572383,7.925,1.0584924808561673,-11.6375,5,0.8484608254899332,2,0.7,0.50R,10
444,0.6711711711711712,0.023451576576576576,10.4125,1.076310003664346,-10.437500000000002,7,1.1146602098164209,2,0.7,0.50R,15
431,0.5382830626450116,-0.013729698375870068,-5.9174999999999995,0.9604478235441558,-15.25,7,-0.5939994289447236,2,0.7,0.67R,5
409,0.5794621026894865,0.005097799511002458,2.0850000000000053,1.0139499874550475,-10.740000000000002,6,0.20268482116440525,2,0.7,0.67R,10
404,0.5965346534653465,0.01582920792079208,6.395,1.042654660663665,-9.607500000000002,7,0.6114211611650435,2,0.7,0.67R,15
423,0.5200945626477541,-0.015898345153664294,-6.724999999999996,0.9565918993061159,-12.937499999999998,7,-0.6796162049419358,2,0.7,0.75R,5
400,0.555,0.010312499999999995,4.124999999999998,1.0271470878578481,-12.412500000000001,6,0.35551834708014174,2,0.7,0.75R,10
